# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Gaza Strip	Striscia di Gaza
Gear	Ingranaggio
Geb	Geb
Geisha	Geisha
Gemini (constellation)	Gemelli (costellazione)
Gemstone	Pietra preziosa
Gene	Gene
Genealogy	Genealogia
Genealogy	Categoria:Genealogia
General Agreement on Tariffs and Trade	General Agreement on Tariffs and Trade
General Officer	Generale
General relativity	Relatività generale
Genesis	Genesi
Genetic code	Codice genetico
Genetic engineering	Ingegneria genetica
Genetics	Genetica
Genetics	Categoria:Genetica
Geneva	Ginevra (città)
Genie	Jinn
Genitive case	Genitivo
Genoa	Genova
Genocide	Genocidio
Genocide	Categoria:Genocidi
Genome	Genoma
Genotype	Genotipo
Genus	Genere (tassonomia)
Geochemistry	Geochimica
Geodesy	Geodesia
Geodesy	Categoria:Geodesia
Geoffrey Chaucer	Geoffrey Chaucer
Geography	Geografia
Geography	Categoria:Geografia
Geography	Portale:Geografia
Geology	Categoria:Geologia
Geology	Geologia
Geometric progression	Progressione geometrica
Geometry	Geometria
Geometry	Categoria:Geometria
Geomorphology	Geomorfologia
Geophysics	Geofisica
Geophysics	Categoria:Geofisica
Geopolitics	Geopolitica
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
George Frideric Handel	Georg Friedrich Händel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Paget Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown	Georgetown (Guyana)
Georgia (U.S. state)	Georgia (USA)
Georgia (U.S. state)	Categoria:Georgia (USA)
Georgia (country)	Georgia
Georgia (country)	Categoria:Georgia
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Peter Kuiper
German Shepherd Dog	Pastore tedesco
German language	Lingua tedesca
German language	Categoria:Lingua tedesca
German mark	Marco tedesco
Germanium	Germanio
Germany	Germania
Germany	Categoria:Germania
Geronimo	Geronimo (capo apache)
Gestapo	Gestapo
Geyser	Geyser
Ghana	Ghana
Ghana	Categoria:Ghana
Ghent	Gand
Ghetto	Ghetto
Ghost	Fantasma
Giacomo Puccini	Giacomo Puccini
Giant Panda	Ailuropoda melanoleuca
Gibbon	Hylobatidae
Gibraltar	Gibilterra
Gigabyte	Gigabyte
Gilgamesh	Gilgamesh
Ginger	Zingiber officinale
Ginkgo	Ginkgo biloba
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto
Giovanni Boccaccio	Giovanni Boccaccio
Giraffe	Giraffa camelopardalis
Giraffidae	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironda
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Glacier	Ghiacciaio
Gladiator	Gladiatore
Gland	Ghiandola
Glasgow	Glasgow
Glasnost	Glasnost'
Glass	Vetro
Glasses	Occhiali
Glider	Aliante
Global Positioning System	Global Positioning System
Global warming	Riscaldamento globale
Globalization	Globalizzazione
Globe artichoke	Cynara scolymus
Gloucestershire	Gloucestershire
Glucagon	Glucagone
Glucose	Glucosio
Gluon	Gluone
Glutamic acid	Acido glutammico
Glycerol	Glicerolo
Glycine	Glicina
Glycogen	Glicogeno
Glycolysis	Glicolisi
Gnathostomata	Gnathostomata
Gneiss	Ortogneiss
Gnosticism	Gnosticismo
Go (board game)	Go (gioco)
Goa	Goa
Goalkeeper	Portiere
Goat	Capra hircus
Gobi Desert	Deserto del Gobi
God	Dio
Golan Heights	Golan (regione)
Gold	Oro
Golda Meir	Golda Meir
Golden Eagle	Aquila chrysaetos
Golden Gate Bridge	Golden Gate Bridge
Golden Horde	Khanato dell'Orda d'Oro
Golden Retriever	Golden Retriever
Golf	Golf
Golf	Categoria:Golf
Golgi apparatus	Apparato del Golgi
Gomel	Homiel'
Good Friday	Venerdì Santo
Google	Google
Google	Categoria:Google
Googol	Googol
Gorgon	Gorgoni
Gorilla	Gorilla (genere)
Goshawk	Accipiter gentilis
Gospel	Vangelo
Gospel of Luke	Vangelo secondo Luca
Gothenburg	Göteborg
Gothic	Gotico (disambigua)
Gothic architecture	Architettura gotica
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Gout	Gotta
Government	Governo
Grace Kelly	Grace Kelly
Gradient	Gradiente
Graffiti	Graffiti writing
Graham Greene	Graham Greene
Gram	Grammo
Grammar	Grammatica
Grammar	Categoria:Grammatica
Grammatical gender	Genere (linguistica)
Granada	Granada
Grand Canyon	Grand Canyon
Grand Slam (tennis)	Grande Slam (tennis)
Grandmaster (chess)	Grande maestro internazionale
Granite	Granito
Grape	Vitis
Grapefruit	Citrus × paradisi
Graphic design	Categoria:Grafica
Graphic design	Grafica
Graphical user interface	Interfaccia grafica
Graphite	Grafite
Gravitation	Forza di gravità
Gravitational constant	Costante di gravitazione universale
Graviton	Gravitone
Gray (unit)	Gray (unità di misura)
Gray Wolf	Canis lupus
Graz	Graz
Great Barrier Reef	Grande barriera corallina
Great Britain	Gran Bretagna
Great Crested Grebe	Podiceps cristatus
Great Depression	Grande depressione
Great Lakes	Grandi Laghi (America)
Great Rift Valley	Rift Valley
Great Wall of China	Grande muraglia cinese
Great white shark	Carcharodon carcharias
Greater Antilles	Grandi Antille
Greater London	Grande Londra
Greatest common divisor	Massimo comun divisore
Grebe	Podicipediformes
Greece	Grecia
Greece	Categoria:Grecia
Greek alphabet	Alfabeto greco
Greek alphabet	Categoria:Alfabeto greco
Greek fire	Fuoco greco
Greek mythology	Mitologia greca
Greek mythology	Categoria:Mitologia greca
Green	Verde
Greenhouse	Serra
Greenhouse effect	Effetto serra
Greenhouse gas	Gas serra
Greenland	Groenlandia
Greenland	Categoria:Groenlandia
Greenland Sea	Mare di Groenlandia
Greenpeace	Greenpeace
Greenwich	Greenwich
Greenwich Mean Time	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Gregorian calendar	Calendario gregoriano
Grenada	Categoria:Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Grey	Grigio
Greylag Goose	Anser anser
Griffin	Grifone (mitologia)
Griffon Vulture	Gyps fulvus
Gross domestic product	Prodotto interno lordo
Group	Gruppo
Group (mathematics)	Gruppo (matematica)
Group (periodic table)	Gruppo della tavola periodica
Group theory	Teoria dei gruppi
Grover Cleveland	Grover Cleveland
Grozny	Groznyj
Gruiformes	Gruiformes
Grus (constellation)	Gru (costellazione)
Guadalajara	Guadalajara (Messico)
Guadeloupe	Guadalupa
Guam	Guam
Guangdong	Guangdong
Guangzhou	Canton
Guanine	Guanina
Guano	Guano
Guatemala	Categoria:Guatemala
Guatemala City	Città del Guatemala
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guild	Corporazioni delle arti e mestieri
Guillaume Apollinaire	Guillaume Apollinaire
Guillotine	Ghigliottina
Guinea	Guinea
Guinea	Categoria:Guinea
Guinea pig	Cavia porcellus
Guinea-Bissau	Guinea-Bissau
Guinea-Bissau	Categoria:Guinea-Bissau
Guitar	Chitarra
Gujarat	Gujarat
Gulag	Gulag
Gulf Stream	Corrente del Golfo
Gulf War	Guerra del Golfo
Gulf of Aden	Golfo di Aden
Gulf of Aqaba	Golfo di Aqaba
Gulf of Bothnia	Golfo di Botnia
Gulf of Finland	Golfo di Finlandia
Gulf of Guinea	Golfo di Guinea
Gulf of Mexico	Golfo del Messico
Gulf of Oman	Golfo di Oman
Gulf of Riga	Golfo di Riga
Gulf of Thailand	Golfo del Siam
Gull	Laridae
Gunpowder	polvere nera
Guppy	Poecilia reticulata
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustave Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Guyana	Categoria:Guyana
Gymnastics	Ginnastica
Gymnosperm	Gymnospermae
Gynaecology	Ginecologia
Gypsum	Gesso (mineralogia)
Gyroscope	Giroscopio
H	H
H. G. Wells	H.G. Wells
HIV	HIV
HTML	HTML
Habitat	Habitat
Hacker	Hacker
Hadean	Adeano
Hades	Ade (divinità)
Hadith	Ḥadīth
Hadrian	Publio Elio Traiano Adriano
Hadrian's Wall	Vallo di Adriano
Hadron	Adrone
Haemophilia	Emofilia
Hafnium	Afnio
Hagia Sophia	Hagia Sophia
Haifa	Haifa
Haiku	Haiku
Hail	Grandine
Hail Mary	Ave Maria
Hair	Capelli
Haiti	Haiti
Haiti	Categoria:Haiti
Hajj	Hajj
Halal	Halal
Halberd	Alabarda
Half-life	Emivita (fisica)
Halle	Halle sul Saale
Halloween	Halloween
Hallucination	Allucinazione
Halogen	Alogeno
Hamas	Hamas
Hamburg	Amburgo
Hamburg	Categoria:Amburgo
Hamburger	Hamburger
Hamlet	Amleto
Hammer	Martello (tecnologia)
Hammer and sickle	Falce e martello
Hammurabi	Hammurabi
Hampshire	Hampshire
Hamster	Cricetinae
Han Dynasty	Dinastia Han
Hand	Mano
Hand grenade	Bomba a mano
Handgun	Pistola
Hanging	Impiccagione
Hanging Gardens of Babylon	Giardini pensili di Babilonia
Hannah Arendt	Hannah Arendt
Hannibal	Annibale
Hanoi	Hanoi
Hanover	Hannover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanseatic League	Lega Anseatica
Hanukkah	Chanukah
Hanuman	Hanuman
Happiness	Felicità
Harare	Harare
Hardness	Durezza
Harem	Harem
Harlem	Harlem
Harmonica	Armonica a bocca
Harmony	Armonia (musica)
Harold Pinter	Harold Pinter
Harp	Arpa (strumento)
Harpsichord	Clavicembalo
Harpy	Arpia
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg	Harrisburg
Harry Houdini	Harry Houdini
Hartford	Hartford (Connecticut)
Hassium	Hassio
Hatred	Odio (sentimento)
Haute-Normandie	Alta Normandia
Havana	L'Avana
Hawaii	Hawaii
Hawaii	Categoria:Hawaii
Hazel	Specie di Corylus
Head	Testa
Head of state	Capo di stato
Health	Salute
Health	Categoria:Salute
Heart	Cuore
Heat	Calore
Heat engine	Macchina termica
Heaven	Paradiso
Heavy metal music	Heavy metal
Heavy water	Acqua pesante
Hebe (mythology)	Ebe
Hebei	Hebei
Hebrew alphabet	Alfabeto ebraico
Hebrew calendar	Calendario ebraico
Hebrides	Isole Ebridi
Hecate	Ecate
Hectare	Ettaro
Hector	Ettore (mitologia)
Hector Berlioz	Hector Berlioz
Hedgehog	Erinaceinae
Hedonism	Edonismo
Heimdall	Heimdallr
Heinrich Hertz	Heinrich Rudolf Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (being)	Hel (divinità)
Helen	Elena (mitologia)
Helen Keller	Helen Keller
Helena	Helena (Montana)
Helicopter	Elicottero
Helios	Elio (mitologia)
Helium	Elio
Hell	Inferno
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Hematite	Ematite
Hematology	Ematologia
Hematology	Categoria:Ematologia
Hemoglobin	Emoglobina
Hemorrhoid	Emorroidi
Henri Becquerel	Antoine Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henrik Ibsen	Henrik Ibsen
Henry (unit)	Henry
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore	Henry Moore
Henry Purcell	Henry Purcell
Hepatitis	Epatite
Hephaestus	Efesto
Hera	Era (mitologia)
Heracles	Eracle
Heraclitus	Eraclito di Efeso
Heraldry	Araldica
Heraldry	Categoria:Araldica
Herat	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Hercules	Ercole
Hercules (constellation)	Ercole (costellazione)
Heresy	Eresia
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermaphrodite	Ermafroditismo
Hermeneutics	Ermeneutica
Hermes	Ermes
Hero	Eroe
Hero of Alexandria	Erone di Alessandria
Herod the Great	Erode il Grande
Herodotus	Erodoto
Heroin	Eroina
Heron	Ardeidae
Herring Gull	Larus argentatus
Hertfordshire	Hertfordshire
Hertz	Hertz
Hesiod	Esiodo
Hesperides	Esperidi
Hesse	Assia
Hesse	Categoria:Assia
Hestia	Estia
Heterosexuality	Eterosessualità
Heterotroph	Eterotrofia
Hexadecimal	Sistema numerico esadecimale
Hexagon	Esagono
Hezbollah	Hezbollah
Hibernation	ibernazione
Hideki Yukawa	Hideki Yukawa
Hieronymus Bosch	Hieronymus Bosch
Hilbert space	Spazio di Hilbert
Himalayas	Himalaya
Hindu Kush	Hindu Kush
Hinduism	Induismo
Hinduism	Categoria:Induismo
Hipparchus	Ipparco di Nicea
Hippie	Hippy
Hippocrates	Ippocrate di Coo
Hippocratic Oath	Giuramento di Ippocrate
Hippopotamus	Hippopotamus amphibius
Hirohito	Shōwa imperatore del Giappone
Hiroshima	Hiroshima
Hispaniola	Hispaniola
Histidine	Istidina
Histology	Istologia
Histology	Categoria:Istologia
Histone	Istone
Historiography	Storiografia
History	Storia
History	Categoria:Storia
History	Portale:Storia
Ho Chi Minh	Ho Chi Minh
Ho Chi Minh City	Ho Chi Minh (città)
Hobart	Hobart
Hobbit	Hobbit
Hobby	Hobby
Hokusai	Hokusai
Holiday	Festa
Hollywood	Hollywood
Holmium	Olmio
Holocene	Olocene
Holography	Olografia
Holy Grail	Graal
Holy Roman Empire	Sacro Romano Impero Germanico
Holy Roman Empire	Categoria:Sacro Romano Impero
Holy Spirit	Spirito Santo
Homeopathy	Omeopatia
Homeostasis	Omeostasi
Homer	Omero
Hominidae	Hominidae
Homo (genus)	Homo
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonym	Omonimia
Homophobia	Omofobia
Homosexuality	Omosessualità
Honduras	Honduras
Honduras	Categoria:Honduras
Honey	Miele
Honey Buzzard	Pernis apivorus
Hong Kong	Hong Kong
Hong Kong	Categoria:Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Hookah	Narghilè
Hooke's law	Legge di Hooke
Hoopoe	Upupa epops
Horace	Quinto Orazio Flacco
Horatio Nelson	Horatio Nelson
Horizon	Orizzonte
Hormone	Ormone
Horn (anatomy)	Corno (biologia)
Horn (instrument)	Corno (strumento musicale)
Horn of Africa	Corno d'Africa
Horse	Equus caballus
Horse racing	Ippica
Horsepower	Cavallo vapore
Horus	Horo
Hosni Mubarak	Hosni Mubarak
Hospital	Ospedale
Hotel	Albergo
Hour	Ora (unità di misura)
Hourglass	clessidra
House	Casa
House (TV series)	Dr. House - Medical Division
House Mouse	Mus musculus
House Sparrow	Passer domesticus
Houston	Houston
Hovercraft	Hovercraft
Howard Carter (archaeologist)	Howard Carter
Hubble's law	Legge di Hubble
Hudson Bay	Baia di Hudson
Hudson River	Hudson
Hugh Capet	Ugo Capeto di Francia
Hugo Grotius	Ugo Grozio
Huguenot	Ugonotti
Human	Homo sapiens sapiens
Humanism	Umanesimo
Humerus	Omero (anatomia)
Humidity	Umidità
Hummingbird	Colibrì
Humor	Categoria:Umorismo
Humour	Umorismo
Humpback Whale	Megaptera novaeangliae
Humphrey Bogart	Humphrey Bogart
Humus	Humus
Hunan	Hunan
Hundred Years' War	Guerra dei cent'anni
Hungary	Ungheria
Hungary	Categoria:Ungheria
Hunger	Fame
Hunting	Caccia
Hutu	Hutu
Hybrid	Ibrido
Hyderabad	Hyderabad
Hydra (constellation)	Idra (costellazione)
Hydrocarbon	Idrocarburi
Hydrochloric acid	Acido cloridrico
Hydroelectricity	Centrale idroelettrica
Hydrogen	Idrogeno
Hydrogen bond	Legame a idrogeno
Hydrogen cyanide	Acido cianidrico
Hydrogen peroxide	Perossido di idrogeno
Hydrology	Idrologia
Hydrology	Categoria:Idrologia
Hydrolysis	Idrolisi
Hydrosphere	Idrosfera
Hydroxide	Idrossido
Hydrus	Idra Maschio (costellazione)
Hyena	Hyaenidae
Hygiene	Categoria:Igiene
Hymen	Imene (anatomia)
Hymenoptera	Categoria:Imenotteri
Hymenoptera	Hymenoptera
Hymn	Inno
Hyperbola	Iperbole (geometria)
Hyperbole	Iperbole (figura retorica)
Hyperion (moon)	Iperione (astronomia)
Hyperion (mythology)	Iperione (mitologia)
Hypertension	Ipertensione arteriosa sistemica
Hypertext	Ipertesto
Hypertext Transfer Protocol	HTTP
Hypnos	Ipno
Hypnosis	Ipnosi
Hypothalamus	Ipotalamo
Hypothesis	Ipotesi
I	I
I. M. Pei	Ieoh Ming Pei
IPod	IPod
Ian Fleming	Ian Fleming
Iapetus (moon)	Giapeto (astronomia)
Iapetus (mythology)	Giapeto (mitologia)
Iberian Peninsula	Penisola iberica
Ibuprofen	Ibuprofene
Ice	Ghiaccio
Ice age	Glaciazione
Ice cream	Gelato
Ice hockey	Hockey su ghiaccio
Ice hockey	Categoria:Hockey su ghiaccio
Iceberg	Iceberg
Iceland	Islanda
Iceland	Categoria:Islanda
Ichthyology	Ittiologia
Icon	Icona (arte)
Iconoclasm	Iconoclastia
Idaho	Idaho
Idaho	Categoria:Idaho
Ideal gas	Gas ideale
Idealism	Idealismo
Identity element	Elemento neutro
Identity matrix	Matrice identità
Ideology	Ideologia
Ido	Lingua ido
Igloo	Iglù
Ignatius of Loyola	Ignazio di Loyola
Igneous rock	Roccia magmatica
Igor Stravinsky	Igor' Fëdorovič Stravinskij
Iguazu Falls	Cascate dell'Iguazú
Iliad	Iliade
Illinois	Illinois
Illinois	Categoria:Illinois
Illyria	Illiria
Image scanner	Scansionatore d'immagine
Imam	Imām
Immanuel Kant	Immanuel Kant
Immune system	Sistema immunitario
Immunology	Immunologia
Immunology	Categoria:Immunologia
Imperialism	Imperialismo
Impressionism	Impressionismo
Incest	Incesto
Inch	Pollice (unità di misura)
Incheon	Incheon
Inclined plane	Piano inclinato
Independence	Indipendenza
India	India
India	Categoria:India
Indian Ocean	Oceano Indiano
Indiana	Indiana
Indiana	Categoria:Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Indium	Indio
Indochina	Indocina
Indonesia	Indonesia
Indonesia	Categoria:Indonesia
Indra	Indra
Inductance	Induttanza
Inductive reasoning	Induzione
Inductor	Induttore
Indulgence	Indulgenza
Indus (constellation)	Indiano (costellazione)
Indus River	Indo
Industrial Revolution	Rivoluzione industriale
Industry	Industria
Industry	Categoria:Industria
Inequality	Disuguaglianza
Inertia	Inerzia
Infantry	Fanteria
Infectious disease	Malattia infettiva
Infinitive	Infinito (modo)
Infinity	Infinito (matematica)
Inflammation	Infiammazione
Inflation	Inflazione
Influenza	Influenza
Information	Informazione
Information technology	Information and Communications Technology
Information theory	Teoria dell'informazione
Infrared	Radiazione infrarossa
Infrastructure	Infrastruttura
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Inner Mongolia	Mongolia Interna
Innovation	Innovazione
Innsbruck	Innsbruck
Inorganic chemistry	Chimica inorganica
Inorganic chemistry	Categoria:Chimica inorganica
Inquisition	Inquisizione
Insect	Insecta
Insectivora	Insectivora
Institution	Istituzione
Insulin	Insulina
Insurance	Assicurazione
Integer	Numero intero
Integral	Integrale
Integrated circuit	Circuito integrato
Intellectual property	Proprietà intellettuale
Intelligence	Intelligenza (psicologia)
Intelligence quotient	Quoziente d'intelligenza
Intercontinental ballistic missile	Missile balistico intercontinentale
Interest	Interesse
Interference	Interferenza (fisica)
Interjection	Interiezione
Interlingua	Interlingua
International Atomic Energy Agency	Agenzia Internazionale per l'Energia Atomica
International Civil Aviation Organization	Organizzazione Internazionale dell'Aviazione Civile
International Court of Justice	Corte Internazionale di Giustizia
International Date Line	Linea internazionale del cambio di data
International Labour Organization	Organizzazione Internazionale del Lavoro
International Monetary Fund	Fondo Monetario Internazionale
International System of Units	Sistema internazionale di unità di misura
International law	Categoria:Diritto internazionale
International organization	Organizzazione internazionale
Internet	Internet
Internet	Categoria:Internet
Internet Explorer	Windows Internet Explorer
Internment	Campo di concentramento
Interpreter (computing)	Interprete (informatica)
Intersection (set theory)	Intersezione
Interval (music)	Intervallo (musica)
Intestine	Intestino
Intranet	Intranet
Invention	Invenzione (tecnologia)
Invertebrate	Invertebrata
Io (moon)	Io (astronomia)
Io (mythology)	Io (mitologia)
Iodine	Iodio
Ion	Ione
Ionia	Ionia
Ionian Sea	Mar Ionio
Ionic bond	Legame ionico
Ionosphere	Ionosfera
Iota	Iota (lettera)
Iowa	Iowa
Iowa	Categoria:Iowa
Iran	Iran
Iran	Categoria:Iran
Iran-Iraq War	Guerra Iran-Iraq
Iraq	Iraq
Iraq	Categoria:Iraq
Ireland	Irlanda (isola)
Ireland	Categoria:Irlanda
Irenaeus	Sant'Ireneo di Lione
Iridium	Iridio
Iris (anatomy)	Iride (anatomia)
Iris (mythology)	Iris (mitologia)
Irish Republican Army	Irish Republican Army
Irish Sea	Mare d'Irlanda
Irish people	Categoria:Irlandesi
Iron	Ferro
Iron Age	Età del ferro
Iron Curtain	Cortina di ferro
Iron Maiden	Iron Maiden
Irony	Ironia
Irrational number	Numero irrazionale
Irredentism	Irredentismo
Irtysh River	Irtyš
Isaac	Isacco
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Ishmael	Ismaele
Isis	Iside
Islam	Islam
Islam	Categoria:Islam
Islamabad	Islamabad
Islamic calendar	Calendario islamico
Island	Isola
Isle of Man	Isola di Man
Isle of Man	Categoria:Isola di Man
Isle of Wight	Isola di Wight
Isomer	Isomeria
Isoroku Yamamoto	Isoroku Yamamoto
Isotope	Isotopo
Israel	Israele
Israel	Categoria:Israele
Istanbul	Istanbul
Istanbul	Categoria:Istanbul
Isthmus	Istmo
Isthmus of Panama	Istmo di Panamá
Italian Peninsula	Penisola italiana
Italo Calvino	Italo Calvino
Italy	Italia
Italy	Categoria:Italia
Ithaca	Itaca
Ivan Lendl	Ivan Lendl
Ivan Pavlov	Ivan Pavlov
Ivan Turgenev	Ivan Sergeevič Turgenev
