# English-Russian translations created from the Universal dictionary at 2011-04-05T14:49:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 апрель 	 time 
 thin 	 узкий 	 adjective 
 thin ; lean 	 нежирный 	 adjective 
 thing 	 предмет ; вещь 	 object 
 think ; cogitate ; cerebrate 	 думать 	 verb 
 third ; 3rd ; tertiary 	 третий 	 mathematics 
 thirsty 	 жаждущий 	 adjective 
 thirteen ; 13 ; xiii 	 тринадцать 	 number 
 thirty ; 30 ; xxx 	 тридцать 	 number 
 this 	 эта 	 pronoun 
 thorax ; chest ; pectus 	 грудная клетка ; грудь 	 anatomy 
 those 	 эти 	 pronoun 
 thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard 	 тысяча 	 number 
 thousand ; one thousand ; 1000 ; m ; k 	 тысяча 	 number 
 three ; 3 ; iii 	 три 	 number 
 throat ; pharynx 	 глотка ; зев ; горло 	 anatomy 
 through 	 насквозь 	 adverb 
 throw 	 бросание 	 sports 
 throw 	 бросать ; кидать 	 verb 
 thumb ; pollex 	 большой палец 	 anatomy 
 ticket 	 билет 	 object 
 ticket 	 билет 	 object 
 tight 	 тесный 	 adjective 
 time period ; period of time ; period 	 период 	 time 
 tired 	 усталый 	 adjective 
 title 	 надпись ; заголовок 	 society 
 to 	 на 	 preposition 
 today 	 сегодня 	 adverb 
 today 	 сегодняшний день ; сегодня 	 time 
 toe 	 палец на ноге 	 anatomy 
 together 	 вместе 	 adverb 
 toilet ; lavatory ; lav ; can ; john ; privy ; bathroom 	 уборная ; туалет 	 house 
 tomato 	 помидор ; томат 	 food 
 tomato ; love apple ; tomato plant ; Lycopersicon esculentum 	 помидор ; томат 	 food 
 tomorrow 	 завтра 	 adverb 
 tomorrow 	 завтрашний день ; завтра 	 time 
 tongue ; lingua ; glossa ; clapper 	 язык 	 anatomy 
 tonight ; this evening ; this night 	 сегодня вечером 	 adverb 
 tooth 	 зуб 	 anatomy 
 topographic point ; place ; spot 	 место 	 abstract 
 torso ; trunk ; body 	 торс 	 anatomy 
 touch ; touching 	 прикосновение 	 abstract 
 town 	 город 	 society 
 trace ; draw ; line ; describe ; delineate 	 рисовать 	 verb 
 track ; rail ; rails ; runway 	 рельс 	 transport 
 trade 	 занятие ; торговля 	 business 
 trade ; merchandise 	 торговать 	 verb 
 train ; develop ; prepare ; educate 	 дрессировать 	 verb 
 train ; railroad train 	 поезд 	 transport 
 training ; preparation ; grooming 	 обучение 	 abstract 
 transport ; carry 	 перенести 	 verb 
 transport ; send ; ship 	 доставить 	 verb 
 transportation ; shipping ; transport 	 перевозка ; транспорт 	 transport 
 travel ; go ; move ; locomote 	 ходить 	 verb 
 treat ; care for 	 лечить 	 verb 
 treatment ; handling 	 обхождение 	 abstract 
 tree 	 дерево 	 house 
 tremble ; shiver ; shake 	 дрожание 	 abstract 
 trick 	 трюк 	 abstract 
 trouble ; problem 	 проблема 	 abstract 
 true 	 правильный 	 adjective 
 truly ; genuinely ; really 	 всерьёз 	 adverb 
 truthful ; true 	 правильный ; верный 	 adjective 
 try ; seek ; attempt ; essay ; assay 	 попробовать 	 verb 
 turn 	 повернуть 	 verb 
 twelfth ; 12th 	 двенадцатый 	 number 
 twenty ; 20 ; xx 	 двадцать 	 number 
 two ; 2 ; ii 	 два 	 number 
 type 	 тип 	 abstract 
 ugly 	 безобразный ; некрасивый 	 adjective 
 understand 	 понимать 	 verb 
 undertaking ; project ; task ; labor 	 проект 	 abstract 
 unemployed 	 безработный 	 adjective 
 union 	 союз 	 society 
 unit of measurement ; unit 	 единица 	 mathematics 
 university 	 университет ; вуз 	 city 
 university 	 университет ; вуз 	 city 
 university 	 университет ; вуз 	 education 
 unlike ; dissimilar ; different 	 непохожий 	 adjective 
 unmarried ; single 	 холостой ; незамужняя 	 adjective 
 until 	 до 	 conjunction 
 unusual 	 необыкновенный ; необычный 	 adjective 
 unwrap ; disclose ; let on ; bring out ; reveal ; discover ; expose ; divulge ; break ; give away ; let out 	 разоблачить ; открыть 	 verb 
 up ; upwards ; upward ; upwardly 	 вверх 	 adverb 
 us 	 нас 	 pronoun 
 use ; usage ; utilization ; utilisation ; employment ; exercise 	 употребление 	 linguistics 
 use ; utilize ; utilise ; apply ; employ 	 использовать 	 verb 
 useful ; utile 	 полезный ; пригодный 	 adjective 
 user 	 пользователь 	 society 
 usual 	 обычный 	 adjective 
 vacation ; holiday 	 каникулы 	 travelling 
 value 	 ценность 	 art 
 very ; really ; real ; rattling 	 очень 	 adverb 
 village ; hamlet 	 деревня 	 society 
 village ; small town ; settlement 	 деревня 	 society 
 violent 	 насильственный 	 adjective 
 visit 	 визит 	 abstract 
 visit ; see 	 посетить 	 verb 
 vogue ; trend ; style 	 мода 	 abstract 
 voice ; vocalization ; vocalisation ; vocalism ; phonation ; vox 	 голос 	 communication 
 volition ; will 	 воля 	 abstract 
 wages ; reward ; payoff 	 оплата 	 society 
 wait ; hold off ; hold back 	 ждать 	 verb 
 walk 	 идти 	 verb 
 wall 	 стена 	 house 
 war ; state of war 	 война 	 society 
 warm 	 нагревать 	 verb 
 warm 	 тёплый 	 adjective 
 wash ; launder 	 вымыть 	 verb 
 waste ; waste material ; waste matter ; waste product 	 отходы 	 material 
 watch ; ticker 	 часы 	 object 
 watch ; view ; see ; catch ; take in 	 смотреть 	 verb 
 water ; H2O 	 вода 	 material 
 wave ; moving ridge 	 волна 	 nature 
 we 	 мы 	 pronoun 
 wear 	 износ 	 abstract 
 wear ; have on 	 носить 	 verb 
 weather ; weather condition ; conditions ; atmospheric condition 	 погода 	 nature 
 wedding ; wedding ceremony ; nuptials ; hymeneals 	 брак 	 family 
 week ; calendar week 	 неделя 	 time 
 weekend 	 выходных 	 time 
 weigh 	 взвешивать(ся) 	 verb 
 weight 	 вес 	 physics 
 well 	 колодец 	 object 
 well ; good 	 хорошо 	 adverb 
 west 	 западный 	 adjective 
 west ; due west ; westward ; W 	 запад 	 logistics 
 wet 	 мокрый 	 adjective 
 wet 	 намочить 	 verb 
 what 	 который 	 pronoun 
 wheel 	 колесо 	 object 
 whether 	 либо 	 conjunction 
 which 	 какой 	 pronoun 
 while ; piece ; spell ; patch 	 момент 	 transport 
 whip 	 бич 	 object 
 white 	 белый 	 adjective 
 who 	 кто 	 pronoun 
 whole 	 весь ; целый 	 adjective 
 whole 	 целое 	 abstract 
 whom 	 кого 	 pronoun 
 whose 	 чей 	 pronoun 
 why 	 почему 	 adverb 
 wide ; broad 	 широкий 	 adjective 
 wife ; married woman 	 жена 	 family 
 will 	 воля 	 society 
 will ; testament 	 завещание 	 society 
 win 	 выиграть ; победить 	 verb 
 win 	 победа 	 sports 
 wind ; air current ; current of air 	 ветер 	 nature 
 wind ; wrap ; roll ; twine 	 намотать 	 verb 
 window 	 окно 	 house 
 wine ; vino 	 вино 	 food 
 wing 	 крыло 	 anatomy 
 winter ; wintertime 	 зима 	 nature 
 wire 	 провод 	 object 
 wise 	 мудрый 	 adjective 
 wish 	 пожелать ; хотеть 	 verb 
 wish ; wishing ; want 	 желание 	 abstract 
 with 	 с 	 preposition 
 woman ; adult female 	 женщина 	 family 
 wood 	 дерево 	 material 
 wool 	 волна ; шерсть 	 material 
 word 	 слово 	 linguistics 
 work 	 работа 	 abstract 
 work 	 работать 	 verb 
 work ; piece of work 	 дело 	 abstract 
 worker 	 рабочий 	 profession 
 world 	 свет ; мир 	 nature 
 write 	 писать 	 verb 
 writer ; author 	 писатель 	 profession 
 writing 	 почерк 	 linguistics 
 year ; twelvemonth ; yr 	 год 	 time 
 yellow ; yellowish ; xanthous 	 жёлтый 	 color 
 yes 	 да 	 abstract 
 young ; immature 	 молодой 	 adjective 
 yourself 	 себя 	 pronoun 
