-ible	-аемый
somebody	кто-то
someone	кто-то
something	что-то
something	нечто
sometimes	временами
somewhere	где-то
somnambulism	сомнамбулизм
son	сын
son of a bitch	сукин сын
son of a whore	сукин сын
son-in-law	зять
sonata form	сонатная форма
song	песня
sonnet	сонет
soon	скоро
sorghum	сорго
sorrow	горе
sorry	простить
sorry	прошу прощения
sorry	жаль
sort	тип
sort	сортировать
sort	сортировка
soul	душа
soul	соул
sound	звучать
soup	суп
sour	кислый
source code	исходный код
south	юг
south	южный
southeast	юго-восток
southeast	юго-восточный
southern	южный
southwest	юго-запад
southwest	юго-западный
sow	сеять
space	пространство
space	пробел
spacecraft	космический корабль
spaceship	космический корабль
spade	лопата
spade	пика
spades	пики
spaghetti	спагетти
spam	спам
spark	искра
spark plug	свеча зажигания
sparrow	воробей
sparrow hawk	перепелятник
speak	говорить
speaker	громкоговоритель
speaker	носитель
special	специальный
speciality	специальность
specialty	специальность
specific	конкретный
speech	речь
speed	скорость
speed of sound	скорость звука
spell	произносить
spell	заклинание
spend	тратить
sperm	сперма
sperm whale	кашалот
sphere	шар
sphere	сфера
spider	паук
spinach	шпинат
spinal cord	спинной мозг
spine	позвоночник
spirit	душа
spirit	привидение
spirit	алкоголь
spirit	дух
spiritual	духовный
spit	плевать
spleen	селезёнка
splendid	великолепный
split	делить
split	расщеплять
spoilt	испорченный
sponge	губка
spoon	ложка
sport	спорт
spot	пятно
spouse	супруг
spring	весна
spring	источник
spring	пружина
spring	прыгать
spruce	ель
spy	агент
spy	шпионить
square	квадрат
square	площадь
square root	квадратный корень
squid	кальмар
squirrel	белка
stag-beetle	жук
stage	сцена
stainless steel	нержавеющая сталь
stair	лестница
stairs	лестница
stake	кол
stalemate	пат
stallion	жеребец
stand	стоять
stand	вставать
stand	выдерживать
stanza	строфа
stapler	сшиватель
star	звезда
starfish	морская звезда
starling	скворец
start	начало
starvation	голодание
state	состояние
state	государство
state	штат
statement	заявление
station	станция
statistics	статистика
statue	статуя
stay	оставаться
steak	бифштекс
steal	краcть
steel	сталь
steel	стальной
steer	кастрированный
stem cell	стволовая клетка
step	шаг
step	шагать
stepbrother	сводный брат
stepdaughter	падчерица
stepfather	отчим
stepmother	мачеха
stepson	пасынок
sterilize	простерилизовать
stern	корма
stern	строгий
stick	палка
stick	трость
stick	приклеивать
still	всё ещё
stillbirth	мертворождение
stink	вонь
stirrup	стремя
stock	запас
stocking	чулок
stomach	желудок
stomach	живот
stone	камень
stop	останавливаться
stop	останавливать
stop	переставать
stop	прекращать
stop	остановка
stork	аист
story	рассказ
story	этаж
stove	плита
stove	печь
straight	прямой
strait	пролив
strange	странный
straw	солома
strawberry	земляника
stream	поток
street	улица
strength	сила
stress	напряжение
stretch	вытягивать
strict	строгий
strike	забастовка
string	бечёвка
strong	сильный
strong	прочный
strong	стойкий
strong	крепкий
strontium	стронций
struggle	борьба
stubborn	упорный
student	студент
study	изучать
stuff	вещество
stupid	глупый
sturgeon	осётр
style	тип
subject	предмет
subject	подданный
subjunctive	сослагательное наклонение
subliminal message	25-й кадр
submarine	подводная лодка
subscribe	подписываться
subsequent	последующий
subset	подмножество
substance	вещество
substantial	существенный
substitute	заменять
subtract	вычитать
subtraction	вычитание
subtropics	Субтропики
subway	метрополитен
suck	сосать
sudden	неожиданный
suddenly	вдруг
suffer	страдать
sufficient	достаточный
sugar	сахар
sugar beet	сахарная свёкла
sugar cane	сахарный тростник
suggest	предлагать
suicide	самоубийство
suit	костюм
suitcase	чемодан
sulfur	сера
sum	сумма
summary	итоги
summer	лето
sunflower	подсолнечник
sunglasses	солнечные очки
sunrise	восход солнца
sunrise	заря
sunset	заход солнца
superfluous	лишний
superior	высший
superlative	превосходный
superstition	суеверие
supper	ужин
suppose	полагать
suppose	предполагать
suppress	подавлять
supreme	высший
sure	уверенный
surely	конечно
surface	поверхность
surname	фамилия
surprise	удивлять
surprise	сюрприз
surprise	удивление
surprise	внезапный
surrender	сдаваться
suspect	подозревать
swallow	ласточка
swallow	глотать
swan	лебедь
swastika	свастика
swear	клясться
swear	ругаться
sweat	пот
sweat	потеть
swede	брюква
sweep	подметать
sweet	сладкий
sweet	милый
sweet	конфета
sweet	пресный
sweet	душистый
sweet	сладкозвучный
swim	плавать
swimming pool	бассейн
swimsuit	купальный костюм
swing	качать
switch	выключатель
switch	стрелка
sword	меч
swordfish	рыба-меч
syllable	слог
syllogism	силлогизм
sympathetic nervous system	симпатическая нервная система
symptom	признак
synagogue	синагога
synchronize	синхронизировать
synthesizer	синтезатор
system	система
table	стол
table	таблица
table football	кикер
table tennis	настольный теннис
tablespoon	столовая ложка
tadpole	головастик
tail	хвост
tailor	портной
take	брать
talent	талант
talisman	талисман
talk	говорить
talk	разговор
talk	лекция
tall	высокий
tame	приручённый
tangent	тангенс
tantalum	тантал
tape	лента
tape recorder	магнитофон
tapir	тапир
tattoo	татуировка
taunt	колкость
taunt	насмехаться
tawny owl	неясыть серая
tax	налог
taxi	такси
tea	чай
tea	чашка
tea leaf	чайный лист
teach	учить
teacher	учитель
team	команда
teapot	чайник
tear	слеза
tear	рвать
teat	центрик
technetium	технеций
technique	техника
teddy bear	плюшевый мишка
teenager	подросток
telegram	телеграмма
telephone	телефон
telephone	телефонировать
telescope	телескоп
television	телевидение
television	телевизор
tell	сказать
tellurium	теллур
temperature	температура
template	шаблон
temple	храм
temple	висок
temporary	временный
temptation	искушение
ten	десять
ten	десятка
ten thousand	десять тысяч
tendency	тенденция
tender	нежный
tendon	сухожилие
tennis	теннис
tent	палатка
tenth	десятый
term	термин
terrible	ужасный
terror	ужас
terrorism	tерроризм
terrorist	террорист
test	экзамен
test	проба
testicle	яичко
testimony	показание
testosterone	тестостерон
textbook	учебник
thallium	таллий
than	чем
thank	благодарить
thank you	спасибо
thank you very much	большое спасибо
thanks	спасибо
that	что
that	тот
that	который
that	это
the	''not used''
the early bird gets the worm	кто рано встаёт, тому бог подаёт
the grass is always greener on the other side	Соседняя очередь всегда движется быстрее
theater/homonyms	театр
theft	кража
their	их
theism	теизм
theme	тема
themselves	себя
then	тогда
then	затем
theory	теория
there	там
there	туда
thermometer	термометр
thesaurus	тезаурус
these	эти
thesis	диссертация
they	они
thick	толстый
thick	густой
thief	вор
thigh	бедро
thimble	напёрсток
thing	вещь
think	думать
third	третий
third person	третье лицо
thirst	жажда
thirsty	томимый жаждой
thirteen	тринадцать
thirteenth	тринадцатый
thirty	тридцать
thirty-eight	тридцать восемь
thirty-five	тридцать пять
thirty-four	тридцать четыре
thirty-nine	тридцать девять
thirty-one	тридцать один
thirty-seven	тридцать семь
thirty-six	тридцать шесть
thirty-three	тридцать три
thirty-two	тридцать два
this	это
thither	туда
thou	ты
though	тем не менее
thought	мысль
thousand	тысяча
thread	нить
three	три
three	тройка
thrice	трижды
throat	горло
thrombocytopenia	тромбоцитопения
throne	трон
throw	бросать
thrush	дрозд
thumb	большой палец
thunder	гром
thunder	греметь
thus	таким образом
tick	клещ
tiddlywinks	игра́ в бло́шки
tide	прилив
tie	галстук
tie	связывать
tiger	тигр
till	до
till	пахать
till	пока
time	время
time	раз
timid	робкий
tin	олово
tin	жестянка
tin	оловянный
tire	шина
tired	усталый
tit	синица
tit	титька
titanium	титан
title	заглавие
tmesis	тмезис
to	на
to	(suffix) -ать
toad	жаба
tobacco	табак
today	сегодня
toe	палец
together	вместе
toilet	туалет
toilet	унитаз
toilet paper	туалетная бумага
tolerate	допускать
toll	пошлина
tom	кот
tomahawk	томагавк
tomato	помидор
tomorrow	завтра
ton	тонна
tone	тон
tongs	схваты
tongue	язык
tonight	сегодня вечером
tonight	сегодняшний
too	также
too	чересчур
tool	инструмент
tooth	зуб
toothbrush	зубная щётка
toothpaste	зубная паста
top	вершина
topic	предмет
torment	мучение
tornado	смерч
tortoise	черепаха
total	сумма
total	итог
toucan	тукан
touch	трогать
touch	волноваться
tourist	турист
tournament	турниры
towel	полотенце
town	город
toy	игрушка
trachea	трахея
tractor	трактор
trade	торговля
tradition	традиция
traffic	движение
tragedy	трагедия
train	поезд
training	тренировка
tram	трамвай
transfer	переносить
transfer	переход
transformation	преобразования
transitive verb	переходный глагол
translate	переводить
translation	перевод
translation	трансляция
translations	переводы
translator	переводчик
transliterate	транслитерация
transliteration	транслитерирование
transport	перевозить
transportation	транспорт
transvestite	трансвестит
travel	путешествовать
treacle	меласса
treasure	сокровище
treasurer	казначей
tree	дерево
tree trunk	ствол
trial	суд
trial	испытание
triangle	треугольник
tribe	племя
trillion	триллион
trillion	квинтиллион
trinity	троица
trip	поездка
trouble	беспокойство
trousers	брюки
trout	форель
truck	грузовик
true	верный
true	истинный
true	наcтоящий
trumpet	труба
trumpet	играть
trunk	ствол
trunk	сундук
trunk	хобот
trunk	багажник
truth	правда
tsar	царь
tsarina	царица
tsunami	цунами
tube	труба
tuberculosis	туберкулёз
tulip	тюльпан
tuna	тунец
tundra	тундра
tungsten	вольфрам
turd	говно
turkey	индюк
turmeric	куркума
turnip	репа
turquoise	бирюза
turquoise	бирюзовый
turtle	черепаха
turtle dove	горлица
tusk	клык
twat	манда
twelfth	двенадцатый
twelve	двенадцать
twenty	двадцать
twenty-eight	двадцать восемь
twenty-five	двадцать пять
twenty-four	двадцать четыре
twenty-nine	двадцать девять
twenty-one	двадцать один
twenty-seven	двадцать семь
twenty-six	двадцать шесть
twenty-three	двадцать три
twenty-two	двадцать два
twice	дважды
twilight	сумерки
twin	близнец
twist	скручивать
two	два
two	двойка
two hundred	двести
typewriter	пишущая машинка
typhoon	тайфун
tzar	царь
ubiquitous	вездесущий
udder	вымя
ugly	уродливый
ulcer	язва
umbrella	зонтик
unbibium	унбибий
unbinilium	унбинилий
unbiunium	унбиуний
uncle	дядя
under	под
underpants	трусы
undress	раздеваться
undress	раздевать
unemployment	безработица
unicorn	единорог
unidentified flying object	неопознанный летающий объект
uniform	форма
uniform	однообразный
union	союз
union	объединение множеств
unique	уникальный
unit	единица
unite	объединять
universal	всеобщий
university	университет
unjust	несправедливый
unknown	неизвестный
unless	если не
unmarried	хoлoстoй
unnecessary	ненужный
unreal	нереальный
unrequited love	неразделённая любовь
until	до
until	пока не
ununennium	унунэнний
ununhexium	унунгексий
ununpentium	унунпентий
ununquadium	унунквадий
ununseptium	унунсептий
ununtrium	унунтрий
up	вверх
upper	верхний
urban	городской
urgent	срочный
urine	моча
use	использовать
use	употребление
useful	полезный
user	пользователь
user	потребитель
usual	обыкновенный
utopia	утопия
vacant	свободный
vacation	проводить/провести отпуск
vacuum	вакуум
vacuum	пылесос
vacuum cleaner	пылесос
vagina	влагалище
vague	неопределённый
valid	действительный
valley	долина
valuable	ценный
value	значение
value	ценность
value added tax	налог на добавленную стоимость
vampire	вампир
vanadium	ванадий
vandalism	вандализм
vanish	исчезать
vapour	пар
variable	переменная
variable	переменный
various	разный
vas deferens	семявыносящий проток
vase	ваза
vast	более обширный
veal	телятина
vector	вектор
vegetable	овощ
vehicle	транспортное средство
vein	вена
vending machine	торговый автомат
venom	яд
verandah	веранда
verb	глагол
vernacular	народный язык
versus	против
vert	зеленый
very	очень
vessel	сосуд
vessel	корабль
vicinity	окрестность
victory	победа
view	вид
view	видеть
village	село
vindication	виндикация
vinegar	уксус
vineyard	виноградник
violation	нарушение
violet	фиолетовый
violet	фиалка
violin	скрипка
viper	гадюка
virgin	девственница
virtual	виртуальный
virtual reality	Виртуальная реальность
virtuoso	виртуоз
virus	вирус
visa	виза
visible	видимый
visit	посещать
vital	жизненный
vocative	звательный падеж
vocative case	звательный падеж
vodka	водка
voice	голос
volcano	вулкан
volleyball	волейбол
volt	вольт
voltage	напряжение
vomit	блевать
vomit	блевотина
vote	голосовать
vote	голос
vowel	гласный
voyage	путешествие
vulture	стервятник
wage	жалованье
waggon	телега
wagon	телега
waist	талия
waiter	кельнер
walk	ходить
walk	прогулка
walk	походить
wall	стена
wall	стенка
wallet	бумажчик
wallpaper	обои
walnut	грецкий орех
walrus	морж
want	хотеть
war	война
wardrobe	гардероб
warfare	война
warm	тёплый
warrior	боец
wart	бородавка
warthog	бородавочник
wash	мыть
wasp	оса
watch	наручные часы
watch	смотреть
watch	стража
watch	вахта
water	вода
water	поливать
water	поить
water	минеральная вода
waterfall	водопад
watering can	лейка
watermelon	арбуз
waterproof	водонепроницаемый
wave	волна
wave	махать
wax	воск
way	путь
way	способ
we	мы
weak	слабый
weakness	слабость
weapon	оружие
weapon of mass destruction	оружие массового поражения
weapons of mass destruction	оружия массового поражения
wear	носить
weather	погода
weave	сплести
weaver	ткач
web	[сеть
web colors	цвета в Web
wedding	свадьба
wedge	клин
weed	сорняк
week	неделя
weekend	конец
weekly	еженедельный
weekly	раз в неделю
weekly	еженедельно
weep	плакать
weight	вес
weight	груз
welcome	добро пожаловать
welcome	приветствовать
welcome	желанный
well	колодец
well	здоровый
well	хорошо
were	были (byli)
werewolf	вервольф
west	запад
west	западный
wet	мокрый
wet	мочить
whale	кит
wharf	пристань
what	что
what	как
what	который
what the fuck	какого хуя
what time is it	который час
what's your name	как тебя зовут
wheat	пшеница
wheel	колесо
wheelbarrow	тачка
wheelchair	кресло-каталка
when	когда
when in Rome, do as the Romans do	С волками жить, по-волчьи выть
when pigs fly	когда рак на горе свистнет
when the cat's away the mice will play	Без кота мышам раздолье
where	где
where	куда
where is the toilet	где туалет
wherefore	почему
which	который
while	пока
while	хотя
whip	кнут
whiskey	виски
whisky	виски
whisper	шёпот (šopot)
whistle	свисток
whistle	свист
white	белый
white dwarf	белый карлик
who	кто
who	что
whore	курва
whose	чей
why	почему
why	причина
wicked	злой
wide	широкий
widow	вдова
wife	жена
wig	парик
wiki	вики
wild	дикий
wild boar	кабан
will	завещание
will	воля
willingly	охотно
willow	ива
wind	ветер
wind	ветеры
window	окно
window	витрина
wine	вино
wine	бордо
wing	крыло
winter	зима
wire	проволока
wisdom tooth	зуб мудрости
wise	мудрый
wisent	зубр
wish	желать
wish	желание
witch	ведьма
with	с
with	''(instrumental case
within	внутри
without	без
wizard	волшебник
wolf	волк
wolf	пожирать
wollastonite	волластонит
wolverine	росомаха
woman	женщина
womb	матка
women	женщины
wonder	чудо
wonder	удивляться
wonderful	замечательный
wood	дерево
woodpecker	дятел
woodwind instrument	камышовая аппаратура
wool	шерсть
word	слово
work	работать
work	работа
worker	работник
workers of the world, unite	Пролетарии всех стран, соединяйтесь
world	мир
world war	мировая война
worm	червь
worm	стерва
wormwood	чернобыль
worry	беспокойство
worse	худший
worst	наихудший
worth	цена
worthless	ничего не стоящий
wound	рана
wrath	гнев
wreck	авария
wrestling	борьба
wrist	запястье руки
write	писать
write	написать
writer	писатель
xenon	ксенон
xenophobia	ксенофобия
xylophone	ксилофон
y'all	вы
yacht	яхта
yard	двор
yeah	ага
year	год
yearly	ежегодный
yearly	ежегодно
yeast	дрожжи
yellow	жёлтый
yellow	трусливый
yes	да
yesterday	вчера
yoghurt	йогурт
yoke	ярмо
yolk	желток
you	вы
you	вас
you're welcome	не за что
young	молодой
yourself	себя
yttrium	иттрий
zebra	зебра
zelkova	дзельква
zero	нуль
zero	настраивать
zinc	цинк
zip fastener	застежка молния
zirconium	цирконий
zither	цитра
zone	зона
zoo	зоопарк
zoology	зоология
