-ible	-ibile
son of a whore	figlio di puttana
son-in-law	genero
sonata form	forma-sonata
song	canzone
sonnet	sonetto
soon	presto
sorghum	sorgo
sorrow	dolore
sorry	scusi
sorry	mi scusi
sort	specie
sort	mettere in ordine
sort	classificare
soul	anima
sound	suonare
soup	minestra
sour	agro
south	sud
south	meridionale
sovereign	sovrano
sow	seminare
space	spazio
spacecraft	nave spaziale
spaceship	astronave
spade	pala
spade	picche
spades	picche
spaghetti	spaghetti
spark	scintilla
spark plug	candela di accensione
sparrow	passero
sparrow hawk	sparviero
speak	parlare
special	speciale
speciality	specialità
specialty	specialità
species	specie
specific	specifico
spectacles	occhiali
speech	discorso
speech	parola
speed	velocità
speed of sound	velocità del suono
spell	sillabare
spend	spendere
sperm	sperma
sperm whale	capodoglio
sphere	sfera
spider	ragno
spinach	spinacio
spinal cord	midollo spinale
spirit	spirito
spiritual	spirituale
spit	sputare
spleen	milza
splendid	splendido
split	spartire
split	dividere
spoilt	guastato
sponge	spugna
spoon	cucchiaio
sport	sport
spot	macchia
spouse	sposo
spring	primavera
spring	fonte
spring	molla
spring	saltare
spring	nascere
spruce	abete rosso
spy	spia
spy	spiare
square	quadrato
square	piazza
square root	radice quadrata
squid	calamaro
squirrel	scoiattolo
stag-beetle	cervo
stage	scena
stainless steel	acciaio inossidabile
stair	scala
stairs	scala
stake	palo
stalk	gambo
stand	stare in piedi
stanza	strofa
star	stella
starling	storno
start	avvio
starvation	fame
state	stato
statement	dichiarazione
station	stazione
statistics	statistica
statue	statua
stay	restare
steak	bistecca
steal	rubare
steel	acciaio
steel	di acciaio
steer	manzo
steering wheel	sterzo
stem cell	cellula staminale
step	passo
stepbrother	fratellastro
stepdaughter	figliastra
stepfather	patrigno
stepmother	matrigna
stepson	figliastro
sterilize	sterilizzare
stern	poppa
stern	severo
stevia	Piccolo arbusto con foglio dolce, Stevia
stick	bastone
still	ancora
stillbirth	mortinatalità
stillborn	nato morto
stink	puzza
stir up	fomentare
stirrup	staffa
stock	stock
stocking	calza
stomach	stomaco
stomach	pancia
stone	pietra
stone	calcolo
stone	lapidare
stone	pietroso
stop	fermare
stork	cicogna
story	racconto
story	piano
stove	stufa
strait	(''channel of water'') stretto
strange	strano
straw	paglia
strawberry	fragola
stream	corrente
street	strada
strength	forza
stress	tensione
stretch	tendere
strict	severo
strife	disputa
strike	sciopero
string	spago
strive	sforzarsi
strong	forte
strontium	stronzio
struggle	lotta
stubborn	ostinato
student	studente
study	studiare
stuff	roba
stupid	stupido
sturgeon	storione
stutter	balbuzie
style	stile
subject	soggetto
subjunctive	congiuntivo
subliminal message	messaggio subliminale
submarine	sottomarino
subscribe	abbonarsi
subsequent	successivo
subset	sottoinsieme
substantial	sostanziale
substitute	sostituire
subtract	sottrarre
subtropics	Clima subtropicale
suck	succhiare
sucrose	saccarosio
sudden	improvviso
suddenly	all'improvviso
suffer	soffrire
sufficient	sufficiente
sugar	zucchero
sugar beet	barbabietola da zucchero
sugar cane	canna
suggest	proporre
suicide	suicidio
suicide	suicida
suit	vestito
suitcase	valigia
sulfur	zolfo
sultan	sultano
sum	somma
summer	estate
sunflower	girasole
sunglasses	occhiali da sole
sunrise	levar del sole
sunset	tramonto
super	super or supra
superfluous	superfluo
superior	superiore
superlative	superlativo
supernatural	soprannaturale
superstition	superstizione
supper	cena
suppose	supporre
suppress	sopprimere
supreme	supremo
sure	sicuro
surely	sicuramente
surface	superficie
surgeon	chirurgo
surname	cognome
surprise	sorprendere
surprise	sorpresa
surrender	arrendersi
suspect	sospettare
swallow	rondine
swallow	deglutire
swan	cigno
swastika	svastica
swear	giurare
swear	insultare
swear word	parolaccia
sweat	sudore
sweat	sudare
swede	ravizzone
sweep	spazzare
sweet	dolce
sweet	dolcificato
sweet	simpatico
sweet	dolcetto
sweet	(''food'') non salato
sweet	profumato
sweet	intonato
sweet	fresco
swell	gonfiare
swim	nuotare
swimming pool	piscina
swimsuit	costume da bagno
swing	dondolare
swing	altalena
switch	interruttore
switch	scambio
sword	spada
swordfish	pesce spada
syllable	sillaba
symphony	sinfonia
symptom	sintomo
synagogue	sinagoga
synonym	sinonimo
synthesizer	sintetizzatore
system	sistema
table	tavola
table football	calcio-balilla
table tennis	tennistavolo
tablespoon	cucchiaio da tavola
tadpole	girino
tail	coda
tail	chioma
tailor	sarto
take	prendere
talent	talento
talisman	talismano
talk	parlare
tall	(''thing, person'') alto
tame	addomesticato
tantalum	tantalio
tape	nastro
tape recorder	registratore a nastro
tapir	tapiro
tar	catrame
tattoo	tatuaggio
tattoo	tatuare
taunt	scherno
taunt	deridere
tawny owl	allocco
tax	tassa
taxi	tassì
tea	tè
tea	tisana
tea leaf	foglia di tè
teach	insegnare
teacher	insegnante
team	squadra
teapot	teiera
tear	lacrima
tear	strappare
teaspoon	cucchiaino da tè
teat	capezzolo
technetium	tecnezio
technique	tecnica
teenager	giovincello
telegram	telegramma
telephone	telefono
telephone	telefonare
telephone number	numero telefonico
telescope	telescopio
television	televisione
television	televisore
tell	dire
tellurium	tellurio
temperature	temperatura
temperature	febbre
template	mascherina
temple	tempio
temple	tempia
temporary	temporaneo
temptation	tentazione
ten	dieci
ten thousand	diecimila
tendency	tendenza
tender	tenero
tendon	tendine
tennis	tennis
tense	tempo
tent	tenda
tenth	decimo
termite	termiti
terrible	terribile
territory	territorio
terror	terrore
terrorism	terrorismo
terrorist	terrorista
test	esame
test	prova
testicle	testicolo
testimony	testimonianza
testosterone	testosterone
textbook	libro di testo
thallium	tallio
than	di
thank	ringraziare
thank you	grazie
thank you very much	tante grazie
thanks	grazie
that	che
that	quello
the	il
the early bird gets the worm	chi primo arriva meglio alloggia
the grass is always greener on the other side	L'erba del vicino è sempre più verde
theater/homonyms	teatro
theft	furto
their	il loro
theme	tema
themselves	essi stessi
theology	teologia
theory	teoria
there	là
there is	c'è
thermometer	termometro
these	questi
thesis	tesi
they	essi
thick	spesso
thief	ladro
thigh	coscia
thimble	ditale
thing	cosa
think	pensare
think	considerare
third	terzo
third person	terza persona
thirst	sete
thirteen	tredici
thirteenth	tredicesimo
thirty	trenta
thirty-eight	trentaotto
thirty-five	trentacinque
thirty-four	trentaquattro
thirty-nine	trentanove
thirty-one	trentuno
thirty-seven	trentasette
thirty-six	trentasei
thirty-three	trentatrè
thirty-two	trentadue
this	questo
thistle	cardo
thou	tu
though	comunque
thought	idea
thought	pensiero
thousand	mille
thread	filo
three	tre
thrice	tre
throat	gola
thrombocytopenia	piastrinopenia
throne	trono
throw	gettare
thrush	tordo
thumb	pollice
thunder	tuono
thunder	tuonare
thus	quindi
tick	zecca
tiddlywinks	giuoco della pulce
tie	cravatta
tie	legare
tiger	tigre
tile	piastrella
till	fino
till	arare
timber	legno
timber	legname
time	ora
time	tempo
timid	timido
tin	stagno
tin	lattina
tin	di stagno
tip	mancia
tire	pneumatico
tired	stanco
tit	cincia
tit	tetta
tit	capezzolo
titanium	titanio
title	titolo
tmesis	tmesi
to	a
to	-re
toad	rospo
tobacco	tabacco
today	oggi
together	insieme
toilet	bagno
toilet	water
toilet paper	carta igienica
tolerate	tollerare
toll	tributo
tom	gatto
tomato	pomodoro
tomorrow	domani
ton	tonnellata
tongs	tenaglie
tongue	lingua
tonight	stasera
too	anche
too	troppo
tool	arnese
tool	attrezzo
tooth	dente
toothbrush	spazzolino da denti
toothpaste	dentifricio
toothpick	stuzzicadenti
top	cima
topic	tema
torment	cruccio
tornado	ciclone
torso	torso
tortoise	tartaruga
total	somma
total	totale
touch	toccare
touch	commuovere
tourist	turista
tournament	torneo
towel	asciugamano
town	città
toxic	tossico
toy	giocattolo
trachea	trachea
tractor	trattore
trade	commercio
tradition	tradizione
traffic	traffico
tragedy	tragedia
train	treno
training	addestramento
tram	tram
transfer	trasferire
transfer	trasferimento
transformation	trasformazione
translate	tradurre
translation	traduzione
translator	traduttore
transliterate	traslitterare
transliteration	traslitterazione
transport	trasportare
transportation	trasporto
transrealism	transrealismo
travel	viaggiare
treacle	melassa
treasure	tesoro
treasurer	tesoriere
treaty	trattato
tree	albero
tree trunk	tronco
triangle	triangolo
tricycle	triciclo
trill	consonante vibrante
trinity	trinità
trip	viaggio
trouble	disturbo
trouble	pena
trousers	calzoni
trout	trota
truck	autocarro
true	vero
trumpet	tromba
trumpet	suonare
trunk	tronco
trunk	baule
truth	verità
tsar	zar
tsarina	zarina
tsunami	tsunami
tube	tubo
tuberculosis	tubercolosi
tulip	tulipano
tuna	tonno
tungsten	tungsteno
turd	stronzo
turkey	tacchino
turmeric	curcuma
turnip	rapa
turquoise	turchese
turtle dove	tortora
tusk	zanna
twat	fica
twelfth	dodicesimo
twelve	dodici
twenty	venti
twenty-eight	ventiotto
twenty-five	venticinque
twenty-four	ventiquattro
twenty-nine	ventinove
twenty-one	ventuno
twenty-seven	ventisette
twenty-six	ventisei
twenty-three	ventitre
twenty-two	ventidue
twice	due
twilight	crepuscolo
twin	gemello
twist	torcere
two	due
typewriter	macchina da scrivere
typhoon	tifona
tyre	gomma
tzar	zar
ubiquitous	ubiquitario
ugly	brutto
unbibium	unbibio
unbinilium	unbinilio
unbiunium	unbiunio
uncle	zio
under	sotto
underpants	mutande
understand	capire
undress	svestirsi
unemployment	disoccupazione
unfortunately	sfortunatamente
unicorn	unicorno
unicycle	monociclo
unidentified flying object	oggetto volante non identificato
uniform	uniforme
union	unione
unit	unità
unite	unire
universal	universale
university	università
unjust	ingiusto
unknown	ignoto
unleaded	senza piombo
unleaded fuel	super senza plomo
unless	a meno che
unmarried	scapolone
unnecessary	inutile
unreal	irreale
unrequited love	amore non corrisposto
until	fino
ununennium	ununennio
ununhexium	ununhexio
ununpentium	ununpentio
ununquadium	ununquadio
ununseptium	ununseptio
ununtrium	ununtrio
upper	superiore
urban	urbano
urgent	urgente
urinate	orinare
urine	orina
us	(''after preposition'') noi
use	usare
use	uso
useful	utile
user	utente
usual	solito
uterus	utero
utopia	utopia
vacant	vacante
vacation	andare
vacuum	vuoto
vacuum	aspirapolvere
vacuum cleaner	aspirapolvere
vagina	vagina
vague	vago
valid	valido
valley	valle
valuable	prezioso
value added tax	imposta sul valore aggiunto
vampire	vampiro
vanadium	vanadio
vanilla	vaniglia
vanilla	vanillina
vanish	sparire
vapour	vapore
variable	variabile
various	vario
vas deferens	dotto deferente
vast	ampio
veal	vitello
vector	vettore
vegetable	verdura
vegetable	vegetale
vein	vena
venom	veleno
verb	verbo
vernacular	vernacolare
vert	verde
vertebra	vertebra
vertebrate	vertebrato
very	molto
vessel	recipiente
vessel	vascello
victory	vittoria
view	veduta
view	guardare
vigilance	vigilanza
village	villaggio
vindication	rivendicazione
vine	vite
vinegar	aceto
vineyard	vigna
violation	violazione
violet	viola
violin	violino
virgin	vergine
virology	virologia
virtual	virtuale
virtual reality	realità virtuale
virtue	virtù
virus	virus
visa	vista
vise	morsa
visible	visibile
visit	visitare
vital	vitale
vizier	visir
vocative	vocativo
vocative case	vocativo
vodka	vodka
volcano	vulcano
volleyball	pallavolo
volt	volt
voltage	voltaggio
volume	volume
vomit	vomitare
vote	votare
vote	voto
vowel	vocale
voyage	viaggio
vulture	grifone
wage	salario
waggon	carro
wagon	carro
waist	vita
waiter	cameriere
walk	camminare
walk	camminata
wall	muro
wallet	portafoglio
wallpaper	carta da parati
walnut	noce
walrus	tricheco
want	volere
war	guerra
wardrobe	armadio
warehouse	magazzino
warfare	guerra
warm	caldo
warm	caloroso
warm	riscaldare
warrior	guerriero
wart	verruca
warthog	facocero
wash	lavare
washbasin	lavabo
wasp	vespa
watch	orologio
watch	guardare
watch	sorveglianza
water	acqua
water	annaffiare
water	abbeverare
water vapor	vapore
waterfall	cascata
waterfowl	uccelli acquatici
watering can	innaffiatoio
watermelon	cocomero
waterproof	impermeabile
wave	onda
wave	agitare
wax	cera
wax	di cera
way	via
way	maniera
we	noi
weak	debole
weakness	debolezza
weapon	arma
wear	indossare
weather	tempo
weave	tessere
weaver	tessitore
web site	sito web
wedding	nozze
wedge	cuneo
weed	erbaccia
week	settimana
weekend	weekend
weekly	settimanale
weekly	settimanalmente
weep	piangere
weight	peso
welcome	benvenuto
welcome	accogliere
well	pozzo
well	bene
were	eri
werewolf	lupo mannaro
west	ovest
wet	molle
wet	bagnare
whale	balena
wharf	molo
what	che cosa
what	ciò che
what	che
what is your name	Come si chiama
what the fuck	che cazzo
what time is it	che ora è
what's your name	Come ti chiami
wheat	frumento
wheel	ruota
wheelbarrow	carriola
when	quando
when in Rome, do as the Romans do	Paese che vai, usanza che trovi
when pigs fly	alle calende greche
when the cat's away the mice will play	quando il gatto non c'è, i topi ballano
where	dove
where is the toilet	dov'è il bagno
wherefore	perché
which	quale
which	che
which	il quale
while	mentre
while	malgrado
whip	frusta
whiskey	whisky
whisky	whisky
whisper	sussurrare
white	bianco
white dwarf	nana bianca
white wine	vino bianco
who	chi
whore	puttana
whose	di chi
whose	il cui
why	perché
wicked	malvagio
wide	largo
widow	vedova
wife	sposa
wig	parrucca
wiki	wiki
wikify	wikificare
wild	selvaggio
wild boar	cinghiale
will	volontà
will	''Use the future form of the verb that follows''
willingly	volontieri
willow	salice
win	vincere
win	vittoria
wind	vento
wind	avvolgere
window	finestra
wine	vino
wing	ala
winter	inverno
wire	filo
wise	saggio
wisent	bisonte europeo
wish	desiderio
witch	strega
with	con
within	dentro
without	senza
wizard	mago
wolf	lupo
wolverine	ghiottone
woman	donna
womanizer	donnaiolo
womb	utero
women	donne
wonder	meraviglia
wonder	domandarsi
wonderful	meraviglioso
wood	legno
woodpecker	picchio
woods	bosco
woodwind instrument	legno
wool	lana
word	parola
word	word
work	lavoro
worker	lavoratore
workers of the world, unite	lavoratori di tutto il mondo, unitevi
worm	verme
worm	miserabile
wormwood	amarella
worry	preoccupazione
worse	peggiore
worst	il peggiore
worth	valore
worthless	privo di valore
wound	lesione
wound	ferire
wound	offesa
wreck	collisione
wrestling	lotta libera
wrinkle	raggrinzire
wrinkle	ruga
wrist	polso
write	scrivere
writer	scrittore
xenon	xenon
xenophobia	xenofobia
xylophone	xilofono
y'all	voi
yacht	panfilo
yard	cortile
yawn	sbadigliare
yawn	sbadiglio
yeah	si
year	anno
yearly	annuale
yearly	annnualmente
yeast	lievito
yell	urlare
yellow	giallo
yellow	codardo
yes	sì
yesterday	ieri
yet	ancora
yoghurt	yogurt
yoke	giogo
yolk	tuorlo
you	si
you're welcome	prego
young	giovane
youth	gioventù
youth	giovane
yttrium	ittrio
zebra	zebra
zelkova	olmo siberiano
zero	zero
zero	azzerare
zip fastener	chiusura lampo
zirconium	zirconio
zither	cetra
zoology	zoologia
